,e__x0_Adelaide,e__x0_Albany,e__x0_Albury,e__x0_AliceSprings,e__x0_BadgerysCreek,e__x0_Ballarat,e__x0_Bendigo,e__x0_Brisbane,e__x0_Cairns,e__x0_Canberra,e__x0_Cobar,e__x0_CoffsHarbour,e__x0_Dartmoor,e__x0_Darwin,e__x0_GoldCoast,e__x0_Hobart,e__x0_Katherine,e__x0_Launceston,e__x0_Melbourne,e__x0_MelbourneAirport,e__x0_Mildura,e__x0_Moree,e__x0_MountGambier,e__x0_MountGinini,e__x0_Newcastle,e__x0_Nhil,e__x0_NorahHead,e__x0_NorfolkIsland,e__x0_Nuriootpa,e__x0_PearceRAAF,e__x0_Penrith,e__x0_Perth,e__x0_PerthAirport,e__x0_Portland,e__x0_Richmond,e__x0_Sale,e__x0_SalmonGums,e__x0_Sydney,e__x0_SydneyAirport,e__x0_Townsville,e__x0_Tuggeranong,e__x0_Uluru,e__x0_WaggaWagga,e__x0_Walpole,e__x0_Watsonia,e__x0_Williamtown,e__x0_Witchcliffe,e__x0_Wollongong,e__x0_Woomera,e__x1_E,e__x1_ENE,e__x1_ESE,e__x1_N,e__x1_NE,e__x1_NNE,e__x1_NNW,e__x1_NW,e__x1_S,e__x1_SE,e__x1_SSE,e__x1_SSW,e__x1_SW,e__x1_W,e__x1_WNW,e__x1_WSW,e__x2_No,e__x2_Yes,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
133468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,18.6,23.5,0,5.529650670857005,7.593608328940433,28.0,,,11.0,11.0,86.0,77.0,1016.7,1013.5,4.444383016364441,4.520282800185443,19.7,22.7
77506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,15.3,22.1,0,3.0,9.1,37.0,,,11.0,20.0,69.0,59.0,1023.2,1021.1,8.0,4.520282800185443,16.6,20.5
38372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,6.3,21.2,0,3.4,10.6,22.0,,,9.0,13.0,73.0,43.0,1021.6,1018.9,1.0,1.0,13.7,21.1
91509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,14.7,23.5,0,5.529650670857005,7.593608328940433,37.0,,,15.0,19.0,56.0,48.0,1017.4,1013.3,4.444383016364441,4.520282800185443,19.1,22.5
20117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,13.0,22.8,0,5.529650670857005,7.593608328940433,59.0,,,17.0,35.0,67.0,70.0,1022.2,1017.0,4.444383016364441,4.520282800185443,19.3,19.1
23804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,12.3,17.1,1.0,5.529650670857005,7.593608328940433,76.0,,,28.0,37.0,54.0,51.0,1015.2,1012.7,4.0,2.0,15.2,15.5
75499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,3.4,14.9,0.4,0.4,8.2,24.0,,,11.0,11.0,96.0,62.0,1024.4,1021.7,1.0,5.0,9.2,14.5
11312,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,6.7,17.1,0.1,5.529650670857005,7.593608328940433,35.0,,,13.0,15.0,46.0,37.0,1022.8,1020.7,4.444383016364441,4.520282800185443,12.7,16.4
69139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,16.2,22.8,2.309210988547741,6.6,8.9,46.0,,,26.0,30.0,61.0,55.0,1014.7,1012.5,4.444383016364441,4.520282800185443,17.2,21.7
10436,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,19.3,22.4,9.2,5.2,7.593608328940433,26.0,,,28.0,4.0,75.0,87.0,1014.7,1014.2,7.0,8.0,20.8,21.6
18781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,16.3,23.6,0,5.529650670857005,7.593608328940433,37.0,,,7.0,19.0,79.0,63.0,1020.4,1017.3,4.444383016364441,4.520282800185443,18.3,21.7
116524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,6.8,19.3,0,5.529650670857005,1.3,72.0,,,39.0,18.520092735703244,44.0,51.32602058927937,1010.1,1015.2582092075936,3.0,4.520282800185443,17.4,21.693805996472665
19580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,16.0,21.5,14.8,5.529650670857005,7.593608328940433,46.0,,,24.0,26.0,81.0,70.0,1027.1,1026.6,4.444383016364441,4.520282800185443,19.2,21.2
48263,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.1,14.8,0,5.529650670857005,7.593608328940433,44.0,,,6.0,13.0,99.0,74.0,1024.8,1021.1,8.0,8.0,7.1,14.2
134585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,12.7,18.3,1.6,5.529650670857005,7.593608328940433,31.0,,,7.0,4.0,97.0,74.0,1010.5,1007.9,4.444383016364441,4.520282800185443,13.7,16.9
137090,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,11.9,30.2,0,12.2,12.0,52.0,,,26.0,30.0,20.0,13.0,1020.6,1016.3,1.0,1.0,24.5,29.5
70873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,8.2,21.7,0,3.8,8.7,28.0,,,13.0,13.0,71.0,38.0,1025.7,1021.4,1.0,3.0,14.4,21.4
